,Home,HScore,Away,Ascore
0,Gonzaga 10,79.43,Washington 89,64.51
1,Vanderbilt 91,74.35,Grambling 255,60.49
2,Fordham 133,77.66,Binghamton 342,60.53
3,Air Force 158,60.99,Arkansas State 245,53.97
4,High Point 177,77.51,Queens 211,72.08
5,Northern Iowa 192,78.99,McNeese 358,60.98
6,Lipscomb 194,77.31,Alabama A&M 337,69.71
7,Bryant 198,82.16,Stony Brook 331,69.56
8,Fair. Dickinson 298,76.06,Columbia 340,75.35
9,Cent. Conn. St. 329,66.59,Dartmouth 322,64.85
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
